Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Wine,PENFOLDS KOONUNGA HILL SHIRAZ 14%,750ML,6,630.0,756,1680.0,105.0,140.0,280.0
Wine,PRESTIGIUM ROUGE DRY WINE 11%,750ML,6,400.0,486,1080.0,66.67,90.0,180.0
Wine,TWO OCEANS CABERNET MERLOT 13.5%,750ML,6,505.0,594,1320.0,84.17,110.0,220.0
Wine,TWO OCEANS SAUVIGNON BLANC 12.5%,750ML,6,505.0,594,1320.0,84.17,110.0,220.0
Wine,TWO OCEANS SHIRAZ 13.5%,750ML,6,505.0,594,1320.0,84.17,110.0,220.0
Wine,GANCIA VINO ROSATO MEDIUM SWEET 11.5%,750ML,6,465.0,540,1200.0,77.5,100.0,200.0
Wine,WOLF BLASS EAGLE HAWK CAB SAUV 13%,750ML,6,525.0,648,1440.0,87.5,120.0,240.0
Wine,WOLF BLASS EAGLEHAWK CHARDONNAY 13%,750ML,6,520.0,648,1440.0,86.67,120.0,240.0
Wine,WOLF BLASS EAGLEHAWK MERLOT 13%,750ML,6,520.0,648,1440.0,86.67,120.0,240.0
Wine,WOLF BLASS EAGLEHAWK SHIRAZ 14%,750ML,6,520.0,648,1440.0,86.67,120.0,240.0
Brandy,1848 PREMIUM XO BRANDY 40%,180ML,48,587.0,907,2016.0,13.23,21.0,42.0
Brandy,1848 PREMIUM XO BRANDY 40%,375ML,24,587.0,670,1488.0,25.46,31.0,62.0
Brandy,1848 PREMIUM XO BRANDY 40%,750ML,12,587.0,756,1680.0,49.92,70.0,140.0
Brandy,1848 SUPERIOR MALT WHISKY 40%,180ML,48,605.0,907,2016.0,13.6,21.0,42.0
Brandy,1848 SUPERIOR MALT WHISKY 40%,375ML,24,605.0,670,1488.0,26.21,31.0,62.0
Brandy,1848 SUPERIOR MALT WHISKY 40%,750ML,12,605.0,756,1680.0,51.42,70.0,140.0
Whiskey,8PM RARE BLEND OF INDIAN WHISKY 42.8%,180ML,48,510.0,475,1056.0,11.63,11.0,22.0
Whiskey,8PM RARE BLEND OF INDIAN WHISKY 42.8%,375ML,24,515.0,670,1488.0,22.46,31.0,62.0
Whiskey,8PM RARE BLEND OF INDIAN WHISKY 42.8%,750ML,12,525.0,648,1440.0,44.75,60.0,120.0
Whiskey,BAGPIPER WHISKY 42.8%,750ML,12,515.0,648,1440.0,43.92,60.0,120.0
Whiskey,BLENDERS PRIDE 42.8%,180ML,48,605.0,907,2016.0,13.6,21.0,42.0
Whiskey,BLENDERS PRIDE 42.8%,375ML,24,605.0,670,1488.0,26.21,31.0,62.0
Whiskey,BLENDERS PRIDE 42.8%,750ML,12,595.0,756,1680.0,50.58,70.0,140.0
Brandy,BRITISH EMPIRE BRANDY 40%,180ML,48,595.0,907,2016.0,13.4,21.0,42.0
Brandy,BRITISH EMPIRE BRANDY 40%,375ML,24,595.0,670,1488.0,25.79,31.0,62.0
