Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Premium Spirits & Liquors,JW RED LABEL 40%,1L,12,1000.0,1350,2700,83.33,110,230
Premium Spirits & Liquors,JW RED LABEL 40%,3L,3,950.0,1280,2570,316.67,430,860
Premium Spirits & Liquors,JW RED LABEL 40%,700ML,12,895.0,1210,2420,74.58,100,200
Premium Spirits & Liquors,JW RED LABEL 40%,750ML,12,930.0,1260,2510,77.5,100,210
Premium Spirits & Liquors,JW RED LABEL,500ML,12,585.0,790,1580,48.75,70,130
Premium Spirits & Liquors,JW SONG OF FIRE 40.8%,1L,12,1680.0,2270,4540,140.0,190,380
Premium Spirits & Liquors,JW SONG OF ICE 40.2%,1L,12,1680.0,2270,4540,140.0,190,380
Premium Spirits & Liquors,JW SWING 40%,750ML,12,1955.0,2640,5280,162.92,220,440
Premium Spirits & Liquors,JW WHITE WALKER 40%,1L,12,1670.0,2250,4510,139.17,190,380
Premium Spirits & Liquors,JW XR 21Y 40%,1L,6,3005.0,4060,8110,500.83,680,1350
Premium Spirits & Liquors,JW XR 21Y 40%,750ML,6,2685.0,3620,7250,447.5,600,1210
Premium Spirits & Liquors,KAHLUA 16%,1L,12,1005.0,1360,2710,83.75,110,230
Premium Spirits & Liquors,KAHLUA,700ML,12,895.0,1210,2420,74.58,100,200
Premium Spirits & Liquors,KING ROBERT GIN 43%,1L,12,665.0,900,1800,55.42,70,150
Premium Spirits & Liquors,KING ROBERT II VODKA 43%,1L,12,665.0,900,1800,55.42,70,150
Premium Spirits & Liquors,KING ROBERT II WHISKY 43%,1L,12,665.0,900,1800,55.42,70,150
Premium Spirits & Liquors,LAGAVULIN 12Y 57.3%,700ML,6,1660.0,2240,4480,276.67,370,750
Premium Spirits & Liquors,LAGAVULIN 16Y 43%,700ML,6,1905.0,2570,5140,317.5,430,860
Premium Spirits & Liquors,LAPHROAIG 10Y 40%,1L,12,2530.0,3420,6830,210.83,280,570
Premium Spirits & Liquors,LAPHROAIG 10Y 43%,750ML,12,2365.0,3190,6390,197.08,270,530
Premium Spirits & Liquors,LAPHROAIG FOUR OAK 40%,1L,12,2060.0,2780,5560,171.67,230,460
Premium Spirits & Liquors,LAPHROAIG QUARTER CASK 48%,1L,12,1855.0,2500,5010,154.58,210,420
Premium Spirits & Liquors,LAPHROAIG QUARTER CASK 48%,700ML,6,1365.0,1840,3690,227.5,310,610
Premium Spirits & Liquors,LAPHROAIG SELECT CASK 40%,700ML,6,985.0,1330,2660,164.17,220,440
Premium Spirits & Liquors,LARIOS GIN 37.5%,700ML,12,745.0,1010,2010,62.08,80,170
Premium Spirits & Liquors,MAKERS MARK BOURBON 45%,1L,12,1530.0,2070,4130,127.5,170,340
Premium Spirits & Liquors,MAKERS MARK ORIGINAL 45%,750ML,12,1335.0,1800,3600,111.25,150,300
Premium Spirits & Liquors,MALIBU 21%,1L,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,MALIBU 21%,750ML,12,860.0,1160,2320,71.67,100,190
Premium Spirits & Liquors,MARTELL CORDON BLEU 40%,1L,12,10465.0,14130,28260,872.08,1180,2350
Premium Spirits & Liquors,MARTELL NOBLIGE COGNAC 40%,1L,12,3445.0,4650,9300,287.08,390,780
Premium Spirits & Liquors,MARTELL VS COGNAC,1L,12,2300.0,3110,6210,191.67,260,520
Premium Spirits & Liquors,MARTELL VS COGNAC,1L,6,1300.0,1760,3510,216.67,290,590
Premium Spirits & Liquors,MARTELL VSOP 40%,1L,12,3045.0,4110,8220,253.75,340,690
Premium Spirits & Liquors,MARTELL VSOP 40%,3L,4,3245.0,4380,8760,811.25,1100,2190
Premium Spirits & Liquors,MARTELL VSOP COGNAC,700ML,12,2505.0,3380,6760,208.75,280,560
